play_id,play_name,play_family,play_type,run_scheme,run_modifier,pass_concept,pass_modifier,protection,rpo_tag,play_action,formation_id,personnel,beats_front,beats_coverage,beats_pressure,beats_box,preferred_down_distance,preferred_field_zone,tags
izone_deuce,Inside Zone DEUCE,run,run,inside_zone,none,none,none,none,none,false,gun_1rb_2x2_spread_te_on,11,even;odd;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;zone_scheme
izone_tango,Inside Zone TANGO,run,run,inside_zone,none,none,none,none,none,false,gun_1rb_3x1_spread_y_middle,10,even;odd;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;zone_scheme
izone_trips,Inside Zone TRIPS,run,run,inside_zone,none,none,none,none,none,false,gun_1rb_3x1_spread_no_te,10,even;odd;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;zone_scheme
izone_top,Inside Zone TOP,run,run,inside_zone,none,none,none,none,none,false,gun_1rb_3x1_spread_te_off,11,even;odd;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;zone_scheme
izone_trey,Inside Zone TREY,run,run,inside_zone,none,none,none,none,none,false,gun_1rb_3x1_spread_te_on,11,even;odd;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;zone_scheme
izone_duff,Inside Zone DUFF,run,run,inside_zone,none,none,none,none,none,false,gun_1rb_2x2_spread_2te_off,12,even;odd;over;under,none,none,normal_box;heavy_box,early_down;second_short;third_short;fourth_short,any,inside_run;zone_scheme;12p
izone_dice,Inside Zone DICE,run,run,inside_zone,none,none,none,none,none,false,gun_1rb_2x2_spread_2te_on,12,even;odd;over;under,none,none,normal_box;heavy_box,early_down;second_short;third_short;fourth_short,any,inside_run;zone_scheme;12p
izone_frog,Inside Zone FROG,run,run,inside_zone,none,none,none,none,none,false,gun_1rb_3x1_spread_te_attached_away,11,even;odd;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;zone_scheme
izone_wing,Inside Zone WING,run,run,inside_zone,none,none,none,none,none,false,gun_1rb_2x2_spread_wing,12,even;odd;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;zone_scheme
izone_bunch,Inside Zone BUNCH,run,run,inside_zone,none,none,none,none,none,false,gun_1rb_3x1_bunch_te_on,11,even;odd;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;zone_scheme
splitzone_dot,Split Zone DOT,run,run,inside_zone,split,none,none,none,none,false,gun_1rb_2x2_spread_te_off,11,even;odd;over;under,none,none,normal_box;heavy_box,early_down;second_short;third_short;fourth_short,any,inside_run;zone_scheme;split_flow
splitzone_top,Split Zone TOP,run,run,inside_zone,split,none,none,none,none,false,gun_1rb_3x1_spread_te_off,11,even;odd;over;under,none,none,normal_box;heavy_box,early_down;second_short;third_short;fourth_short,any,inside_run;zone_scheme;split_flow
ozone_dbls,Outside Zone DBLS,run,run,outside_zone,none,none,none,none,none,false,gun_1rb_2x2_spread_no_te,10,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,outside_run;zone_scheme;edge_run
ozone_dot,Outside Zone DOT,run,run,outside_zone,none,none,none,none,none,false,gun_1rb_2x2_spread_te_off,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,outside_run;zone_scheme;edge_run
ozone_deuce,Outside Zone DEUCE,run,run,outside_zone,none,none,none,none,none,false,gun_1rb_2x2_spread_te_on,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,outside_run;zone_scheme;edge_run
ozone_tango,Outside Zone TANGO,run,run,outside_zone,none,none,none,none,none,false,gun_1rb_3x1_spread_y_middle,10,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,outside_run;zone_scheme;edge_run
ozone_trips,Outside Zone TRIPS,run,run,outside_zone,none,none,none,none,none,false,gun_1rb_3x1_spread_no_te,10,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,outside_run;zone_scheme;edge_run
ozone_top,Outside Zone TOP,run,run,outside_zone,none,none,none,none,none,false,gun_1rb_3x1_spread_te_off,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,outside_run;zone_scheme;edge_run
ozone_trey,Outside Zone TREY,run,run,outside_zone,none,none,none,none,none,false,gun_1rb_3x1_spread_te_on,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,outside_run;zone_scheme;edge_run
ozone_frog,Outside Zone FROG,run,run,outside_zone,none,none,none,none,none,false,gun_1rb_3x1_spread_te_attached_away,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,outside_run;zone_scheme;edge_run
ozone_wing,Outside Zone WING,run,run,outside_zone,none,none,none,none,none,false,gun_1rb_2x2_spread_wing,12,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,outside_run;zone_scheme;edge_run
ozone_bunch,Outside Zone BUNCH,run,run,outside_zone,none,none,none,none,none,false,gun_1rb_3x1_bunch_te_on,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,outside_run;zone_scheme;edge_run
pinpull_deuce,Pin Pull DEUCE,run,run,outside_zone,pin_pull,none,none,none,none,false,gun_1rb_2x2_spread_te_on,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,outside_run;zone_scheme;edge_run;pin_pull
pinpull_trey,Pin Pull TREY,run,run,outside_zone,pin_pull,none,none,none,none,false,gun_1rb_3x1_spread_te_on,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,outside_run;zone_scheme;edge_run;pin_pull
pinpull_dice,Pin Pull DICE,run,run,outside_zone,pin_pull,none,none,none,none,false,gun_1rb_2x2_spread_2te_on,12,even;over;under,none,none,normal_box;heavy_box,early_down;second_short;third_short;fourth_short,any,outside_run;zone_scheme;edge_run;pin_pull;12p
pinpull_frog,Pin Pull FROG,run,run,outside_zone,pin_pull,none,none,none,none,false,gun_1rb_3x1_spread_te_attached_away,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,outside_run;zone_scheme;edge_run;pin_pull
ozone_toss_dbls,Outside Zone Toss DBLS,run,run,outside_zone,toss,none,none,none,none,false,gun_1rb_2x2_spread_no_te,10,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,outside_run;zone_scheme;edge_run;toss
ozone_toss_trips,Outside Zone Toss TRIPS,run,run,outside_zone,toss,none,none,none,none,false,gun_1rb_3x1_spread_no_te,10,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,outside_run;zone_scheme;edge_run;toss
ozone_toss_trey,Outside Zone Toss TREY,run,run,outside_zone,toss,none,none,none,none,false,gun_1rb_3x1_spread_te_on,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,outside_run;zone_scheme;edge_run;toss
ozone_toss_bunch,Outside Zone Toss BUNCH,run,run,outside_zone,toss,none,none,none,none,false,gun_1rb_3x1_bunch_te_on,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,outside_run;zone_scheme;edge_run;toss
gycounter_dot,GY Counter DOT,run,run,counter,gy,none,none,none,none,false,gun_1rb_2x2_spread_te_off,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,gap_scheme;pullers;gy
gycounter_top,GY Counter TOP,run,run,counter,gy,none,none,none,none,false,gun_1rb_3x1_spread_te_off,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,gap_scheme;pullers;gy
gycounter_bunch,GY Counter BUNCH,run,run,counter,gy,none,none,none,none,false,gun_1rb_3x1_bunch_te_on,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,gap_scheme;pullers;gy
duo_dot,DUO DOT,run,run,duo,none,none,none,none,none,false,gun_1rb_2x2_spread_te_off,11,even;over;under,none,none,light_box;normal_box,third_short;fourth_short,any,inside_run;gap_scheme;duo
duo_deuce,DUO DEUCE,run,run,duo,none,none,none,none,none,false,gun_1rb_2x2_spread_te_on,11,even;over;under,none,none,normal_box;heavy_box,third_short;fourth_short,any,inside_run;gap_scheme;duo
duo_tango,DUO TANGO,run,run,duo,none,none,none,none,none,false,gun_1rb_3x1_spread_y_middle,10,even;over;under,none,none,light_box;normal_box,third_short;fourth_short,any,inside_run;gap_scheme;duo
duo_top,DUO TOP,run,run,duo,none,none,none,none,none,false,gun_1rb_3x1_spread_te_off,11,even;over;under,none,none,light_box;normal_box,third_short;fourth_short,any,inside_run;gap_scheme;duo
duo_trey,DUO TREY,run,run,duo,none,none,none,none,none,false,gun_1rb_3x1_spread_te_on,11,even;over;under,none,none,normal_box;heavy_box,third_short;fourth_short,any,inside_run;gap_scheme;duo
duo_frog,DUO FROG,run,run,duo,none,none,none,none,none,false,gun_1rb_3x1_spread_te_attached_away,11,even;over;under,none,none,light_box;normal_box,third_short;fourth_short,any,inside_run;gap_scheme;duo
duo_wing,DUO WING,run,run,duo,none,none,none,none,none,false,gun_1rb_2x2_spread_wing,12,even;over;under,none,none,normal_box;heavy_box,third_short;fourth_short,any,inside_run;gap_scheme;duo
duo_duff,DUO DUFF,run,run,duo,none,none,none,none,none,false,gun_1rb_2x2_spread_2te_off,12,even;over;under,none,none,heavy_box;loaded_box,third_short;fourth_short,any,inside_run;gap_scheme;duo;12p
duo_dice,DUO DICE,run,run,duo,none,none,none,none,none,false,gun_1rb_2x2_spread_2te_on,12,even;over;under,none,none,heavy_box;loaded_box,third_short;fourth_short,any,inside_run;gap_scheme;duo;12p
duo_bunch,DUO BUNCH,run,run,duo,none,none,none,none,none,false,gun_1rb_3x1_bunch_te_on,11,even;over;under,none,none,light_box;normal_box,third_short;fourth_short,any,inside_run;gap_scheme;duo
trap_dbls,Trap DBLS,run,run,trap,g,none,none,none,none,false,gun_1rb_2x2_spread_no_te,10,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;gap_scheme;trap
trap_dot,Trap DOT,run,run,trap,g,none,none,none,none,false,gun_1rb_2x2_spread_te_off,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;gap_scheme;trap
trap_trips,Trap TRIPS,run,run,trap,g,none,none,none,none,false,gun_1rb_3x1_spread_no_te,10,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;gap_scheme;trap
trap_top,Trap TOP,run,run,trap,g,none,none,none,none,false,gun_1rb_3x1_spread_te_off,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;gap_scheme;trap
trap_tango,Trap TANGO,run,run,trap,g,none,none,none,none,false,gun_1rb_3x1_spread_y_middle,10,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;gap_scheme;trap
trap_wing,Trap WING,run,run,trap,g,none,none,none,none,false,gun_1rb_2x2_spread_wing,12,even;over;under,none,none,normal_box;heavy_box,early_down;second_short;third_short;fourth_short,any,inside_run;gap_scheme;trap
htrap_dot,H Trap DOT,run,run,trap,h,none,none,none,none,false,gun_1rb_2x2_spread_te_off,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;gap_scheme;trap;wham
htrap_top,H Trap TOP,run,run,trap,h,none,none,none,none,false,gun_1rb_3x1_spread_te_off,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;gap_scheme;trap;wham
htrap_duff,H Trap DUFF,run,run,trap,h,none,none,none,none,false,gun_1rb_2x2_spread_2te_off,12,even;over;under,none,none,heavy_box;loaded_box,early_down;second_short;third_short;fourth_short,any,inside_run;gap_scheme;trap;wham;12p
izone_insert_dot,IZ Insert DOT,run,run,inside_zone,insert,none,none,none,none,false,gun_1rb_2x2_spread_te_off,11,even;odd;over;under,none,none,normal_box;heavy_box,early_down;second_short;third_short;fourth_short,any,inside_run;zone_scheme;insert
izone_insert_top,IZ Insert TOP,run,run,inside_zone,insert,none,none,none,none,false,gun_1rb_3x1_spread_te_off,11,even;odd;over;under,none,none,normal_box;heavy_box,early_down;second_short;third_short;fourth_short,any,inside_run;zone_scheme;insert
izone_rpo_bubble_dbls,IZ RPO Bubble DBLS,run,rpo,inside_zone,none,bubble,base,quick,bubble,false,gun_1rb_2x2_spread_no_te,10,even;odd;over;under,cover3;cover4,edge_blitz;field_blitz;boundary_blitz;nickel_blitz,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
izone_rpo_now_dbls,IZ RPO Now DBLS,run,rpo,inside_zone,none,now,base,quick,now,false,gun_1rb_2x2_spread_no_te,10,even;odd;over;under,cover3;cover4,edge_blitz;field_blitz;boundary_blitz;nickel_blitz,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
izone_rpo_hitch_dbls,IZ RPO Hitch DBLS,run,rpo,inside_zone,none,hitch,base,quick,hitch,false,gun_1rb_2x2_spread_no_te,10,even;odd;over;under,cover2;cover3,edge_blitz;field_blitz;nickel_blitz;sim_pressure,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
izone_rpo_bubble_deuce,IZ RPO Bubble DEUCE,run,rpo,inside_zone,none,bubble,base,quick,bubble,false,gun_1rb_2x2_spread_te_on,11,even;odd;over;under,cover3;cover4,edge_blitz;field_blitz;boundary_blitz;nickel_blitz,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
izone_rpo_now_deuce,IZ RPO Now DEUCE,run,rpo,inside_zone,none,now,base,quick,now,false,gun_1rb_2x2_spread_te_on,11,even;odd;over;under,cover3;cover4,edge_blitz;field_blitz;boundary_blitz;nickel_blitz,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
izone_rpo_hitch_deuce,IZ RPO Hitch DEUCE,run,rpo,inside_zone,none,hitch,base,quick,hitch,false,gun_1rb_2x2_spread_te_on,11,even;odd;over;under,cover2;cover3,edge_blitz;field_blitz;nickel_blitz;sim_pressure,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
izone_rpo_bubble_tango,IZ RPO Bubble TANGO,run,rpo,inside_zone,none,bubble,base,quick,bubble,false,gun_1rb_3x1_spread_y_middle,10,even;odd;over;under,cover3;cover4,edge_blitz;field_blitz;boundary_blitz;nickel_blitz,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
izone_rpo_now_tango,IZ RPO Now TANGO,run,rpo,inside_zone,none,now,base,quick,now,false,gun_1rb_3x1_spread_y_middle,10,even;odd;over;under,cover3;cover4,edge_blitz;field_blitz;boundary_blitz;nickel_blitz,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
izone_rpo_stick_tango,IZ RPO Stick TANGO,run,rpo,inside_zone,none,stick,base,quick,stick,false,gun_1rb_3x1_spread_y_middle,10,even;odd;over;under,cover2;cover3,edge_blitz;field_blitz;nickel_blitz;sim_pressure,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
izone_rpo_hitch_tango,IZ RPO Hitch TANGO,run,rpo,inside_zone,none,hitch,base,quick,hitch,false,gun_1rb_3x1_spread_y_middle,10,even;odd;over;under,cover2;cover3,edge_blitz;field_blitz;nickel_blitz;sim_pressure,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
izone_rpo_bubble_trips,IZ RPO Bubble TRIPS,run,rpo,inside_zone,none,bubble,base,quick,bubble,false,gun_1rb_3x1_spread_no_te,10,even;odd;over;under,cover3;cover4,edge_blitz;field_blitz;boundary_blitz;nickel_blitz,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
izone_rpo_now_trips,IZ RPO Now TRIPS,run,rpo,inside_zone,none,now,base,quick,now,false,gun_1rb_3x1_spread_no_te,10,even;odd;over;under,cover3;cover4,edge_blitz;field_blitz;boundary_blitz;nickel_blitz,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
izone_rpo_stick_trips,IZ RPO Stick TRIPS,run,rpo,inside_zone,none,stick,base,quick,stick,false,gun_1rb_3x1_spread_no_te,10,even;odd;over;under,cover2;cover3,edge_blitz;field_blitz;nickel_blitz;sim_pressure,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
izone_rpo_hitch_trips,IZ RPO Hitch TRIPS,run,rpo,inside_zone,none,hitch,base,quick,hitch,false,gun_1rb_3x1_spread_no_te,10,even;odd;over;under,cover2;cover3,edge_blitz;field_blitz;nickel_blitz;sim_pressure,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
izone_rpo_stick_top,IZ RPO Stick TOP,run,rpo,inside_zone,none,stick,base,quick,stick,false,gun_1rb_3x1_spread_te_off,11,even;odd;over;under,cover2;cover3,edge_blitz;field_blitz;nickel_blitz;sim_pressure,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
ozone_rpo_double_slant_dbls,OZ RPO Double Slant DBLS,run,rpo,outside_zone,none,double_slant,base,quick,double_slant,false,gun_1rb_2x2_spread_no_te,10,even;over;under,cover1;cover3,zero_pressure;edge_blitz;field_blitz;nickel_blitz,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
ozone_rpo_double_slant_deuce,OZ RPO Double Slant DEUCE,run,rpo,outside_zone,none,double_slant,base,quick,double_slant,false,gun_1rb_2x2_spread_te_on,11,even;over;under,cover1;cover3,zero_pressure;edge_blitz;field_blitz;nickel_blitz,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
ozone_rpo_stick_tango,OZ RPO Stick TANGO,run,rpo,outside_zone,none,stick,base,quick,stick,false,gun_1rb_3x1_spread_y_middle,10,even;over;under,cover2;cover3,edge_blitz;field_blitz;nickel_blitz;sim_pressure,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
ozone_rpo_hitch_tango,OZ RPO Hitch TANGO,run,rpo,outside_zone,none,hitch,base,quick,hitch,false,gun_1rb_3x1_spread_y_middle,10,even;over;under,cover2;cover3,edge_blitz;field_blitz;nickel_blitz;sim_pressure,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
ozone_rpo_stick_trips,OZ RPO Stick TRIPS,run,rpo,outside_zone,none,stick,base,quick,stick,false,gun_1rb_3x1_spread_no_te,10,even;over;under,cover2;cover3,edge_blitz;field_blitz;nickel_blitz;sim_pressure,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
ozone_rpo_hitch_trips,OZ RPO Hitch TRIPS,run,rpo,outside_zone,none,hitch,base,quick,hitch,false,gun_1rb_3x1_spread_no_te,10,even;over;under,cover2;cover3,edge_blitz;field_blitz;nickel_blitz;sim_pressure,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
ozone_rpo_bubble_bunch,OZ RPO Bubble BUNCH,run,rpo,outside_zone,none,bubble,base,quick,bubble,false,gun_1rb_3x1_bunch_te_on,11,even;over;under,cover3;cover4,edge_blitz;field_blitz;boundary_blitz;nickel_blitz,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
pinpull_rpo_double_slant_deuce,Pin Pull RPO Double Slant DEUCE,run,rpo,outside_zone,pin_pull,double_slant,base,quick,double_slant,false,gun_1rb_2x2_spread_te_on,11,even;over;under,cover1;cover3,zero_pressure;edge_blitz;field_blitz;nickel_blitz,light_box;normal_box,early_down;fourth_short,any,rpo;conflict_defender;pin_pull;vs_blitz;hot_answer;quick_game
power_rpo_hitch_dbls,Power RPO Hitch DBLS,run,rpo,power,none,hitch,base,quick,hitch,false,gun_1rb_2x2_spread_no_te,10,odd_tite;bear,cover2;cover3,edge_blitz;field_blitz;nickel_blitz;sim_pressure,heavy_box;loaded_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
power_rpo_hitch_tango,Power RPO Hitch TANGO,run,rpo,power,none,hitch,base,quick,hitch,false,gun_1rb_3x1_spread_y_middle,10,odd_tite;bear,cover2;cover3,edge_blitz;field_blitz;nickel_blitz;sim_pressure,heavy_box;loaded_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
power_rpo_stick_tango,Power RPO Stick TANGO,run,rpo,power,none,stick,base,quick,stick,false,gun_1rb_3x1_spread_y_middle,10,odd_tite;bear,cover2;cover3,edge_blitz;field_blitz;nickel_blitz;sim_pressure,heavy_box;loaded_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
power_rpo_now_tango,Power RPO Now TANGO,run,rpo,power,none,now,base,quick,now,false,gun_1rb_3x1_spread_y_middle,10,odd_tite;bear,cover3;cover4,edge_blitz;field_blitz;boundary_blitz;nickel_blitz,heavy_box;loaded_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
power_rpo_bubble_tango,Power RPO Bubble TANGO,run,rpo,power,none,bubble,base,quick,bubble,false,gun_1rb_3x1_spread_y_middle,10,odd_tite;bear,cover3;cover4,edge_blitz;field_blitz;boundary_blitz;nickel_blitz,heavy_box;loaded_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
power_rpo_hitch_trips,Power RPO Hitch TRIPS,run,rpo,power,none,hitch,base,quick,hitch,false,gun_1rb_3x1_spread_no_te,10,odd_tite;bear,cover2;cover3,edge_blitz;field_blitz;nickel_blitz;sim_pressure,heavy_box;loaded_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
power_rpo_stick_trips,Power RPO Stick TRIPS,run,rpo,power,none,stick,base,quick,stick,false,gun_1rb_3x1_spread_no_te,10,odd_tite;bear,cover2;cover3,edge_blitz;field_blitz;nickel_blitz;sim_pressure,heavy_box;loaded_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
power_rpo_now_trips,Power RPO Now TRIPS,run,rpo,power,none,now,base,quick,now,false,gun_1rb_3x1_spread_no_te,10,odd_tite;bear,cover3;cover4,edge_blitz;field_blitz;boundary_blitz;nickel_blitz,heavy_box;loaded_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
power_rpo_bubble_trips,Power RPO Bubble TRIPS,run,rpo,power,none,bubble,base,quick,bubble,false,gun_1rb_3x1_spread_no_te,10,odd_tite;bear,cover3;cover4,edge_blitz;field_blitz;boundary_blitz;nickel_blitz,heavy_box;loaded_box,early_down;fourth_short,any,rpo;conflict_defender;vs_blitz;hot_answer;quick_game
